page_id,url,title,title_length,is_https,images_without_alt_count,content_type,page_link_count,duplicate_content_flag,status_code,meta_description,load_time,h2_count,broken_link_count,audit_id,h1_count,crawl_depth,h2,image_link_count,h1,external_link_count,has_structured_data,internal_link_count,is_mobile_friendly,meta_description_length,has_meta_keywords,title_count
1,https://www.roddandgunn.com/au,Men’s Premium Clothing | Rodd & Gunn Australia,46,True,0,,,,200," Discover our timeless range of smart & casual men's clothing. Shop jackets, pants, jeans, shirts, polos, shoes & accessories from Rodd & Gunn today.",,14,,38,0,0,"GUNN MULTI BUYS | SAVE WHEN YOU BUY 2 OR MORE 
GUNN MULTI BUYS 
 SAVE WHEN YOU BUY 2 OR MORE 
SPRING/SUMMER 24/25 - BEYOND THE HORIZON
SPRING/SUMMER 24/25
BEYOND THE HORIZON
$199.00
$149.00
$149.00
$149.00
$49.00
$179.00
$179.00
$499.00
$499.00
$159.00",74,,0,True,0,False,149,True,1
2,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-crew-sweats,Gunn Multi Buys | Men's Gunn Crew Sweats | Rodd & Gunn AU,57,True,0,,,,200, Shop now and save with Rodd & Gunn’s Crew Sweats deal. Buy 2 or more and pay only $99. Enjoy free delivery on all orders in Australia.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",80,Gunn Crew Sweats,0,False,0,False,135,True,1
3,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-l%2Fs-polos,Gunn Multi Buys | Men's Long Sleeve Polos | Rodd & Gunn AU,58,True,0,,,,200, Pay only $69 when you buy two or more Gunn Long Sleeve men’s Polos from Rodd & Gunn. Shop now with free shipping on all orders.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",97,Gunn Long Sleeve Polos,0,False,0,False,128,True,1
4,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-s%2Fs-t-shirts,Gunn Multi Buys | Short Sleeve T-Shirts | Rodd & Gunn AU,56,True,0,,,,200, Shop Rodd & Gunn's range of short sleeve and long sleeve men's t-shirts and pay $39 when you buy 2 or more. Made with premium materials. Free delivery in AU.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",213,Gunn Short Sleeve T-Shirts,0,False,0,False,158,True,1
5,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-1%2F4-zip-sweats,Mens 1/4 Zip Sweaters | Rodd & Gunn AU,38,True,0,,,,200, Shop Rodd & Gunn's collection of men's quarter zip sweats and pay $99 when you buy 2 or more. Available now in a variety of colours. Free delivery in AU.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",108,1/4 ZIP SWEATERS,0,False,0,False,154,True,1
6,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-oxford-shirts,Gunn Multi Buys | Men's Gunn Oxford Shirts | Rodd & Gunn AU,59,True,0,,,,200," Made for work or play, save money on Rodd & Gunn's 100% cotton Oxford shirts when you buy two or more. Shop online now & stock up on a fashion staple.",,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",173,Gunn Oxford Shirts,0,False,0,False,151,True,1
7,https://www.roddandgunn.com/au/gunn-multi-buys/gunn-s%2Fs-polos,Gunn Multi Buys | Men's Short Sleeve Polos | Rodd & Gunn AU,59,True,0,,,,200, Shop & save on Rodd & Gunn's range of men's polos made from 100% cotton. Pay only $59 when you buy 2 or more of our classic Gunn Polo shirts. Shop online now.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",290,Gunn Short Sleeve Polos,0,False,0,False,159,True,1
8,https://www.roddandgunn.com/au/gunn-multi-buys/hendrick-shirt,Gunn Multi Buys | Men's Hendrick Long Sleeve Shirts | Rodd & Gunn AU,68,True,0,,,,200," Lightweight and luxurious, save money on Rodd & Gunn's 100% cotton Hendrick shirts when you buy two or more. Shop online in Australia now & stock up on a fashion staple.",,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",73,Hendrick Shirt,0,False,0,False,170,True,1
9,https://www.roddandgunn.com/au/gunn-multi-buys,Gunn Multi Buy | Buy 2 or More and Save | Rodd & Gunn AU,56,True,0,,,,200," Buy 2 or more and save on Rodd & Gunn menswear with Gunn Multi Buys. Evolve your style with classic pieces designed to last. Shirts, jeans, polos & more.",,1,,38,1,1,Save When you buy 2 or more,55,Gunn Multi Buys,0,False,0,False,154,True,1
10,https://www.roddandgunn.com/au/clothing/sale/shirts,Shirt Sale for Men | Business & Casual | Rodd & Gunn AU,55,True,0,,,,200, Browse quality men's cotton business shirts and casual shirts on sale at Rodd & Gunn. Free standard delivery for all Rodd & Gunn domestic orders and get two year workmanship guarantee.,,2,,38,1,1,"Refine Your Results By:
Refine Your Results By:",47,Sale Shirts,0,False,0,False,185,True,1
